Frame, X_cm, Y_cm
1204, 167.18, 229.44
1205, 166.96, 229.76
1206, 166.91, 229.48
1207, 166.91, 229.48
1208, 166.91, 229.48
1209, 166.91, 229.48
1210, 166.91, 229.48
1211, 166.91, 229.48
1212, 166.91, 229.48
1213, 166.91, 229.48
1214, 166.91, 229.48
1215, 166.91, 229.48
1216, 166.91, 229.48
1217, 166.91, 229.48
1218, 166.91, 229.48
1219, 166.91, 229.48
1220, 166.91, 229.48
1221, 166.91, 229.48
1222, 166.91, 229.48
1223, 166.91, 229.48
1224, 166.91, 229.48
1225, 166.91, 229.48
1226, 166.91, 229.48
1227, 166.87, 229.20
1228, 166.91, 229.48
1229, 166.83, 228.92
1230, 166.79, 228.64
1231, 167.02, 228.31
1232, 167.02, 228.31
1233, 167.02, 228.31
1234, 167.02, 228.31
1235, 167.08, 226.85
1236, 167.00, 226.28
1237, 167.18, 225.67
1238, 167.02, 224.52
1239, 167.02, 224.52
1240, 166.93, 223.94
1241, 167.12, 223.32
1242, 166.99, 222.46
1243, 166.91, 221.88
1244, 167.14, 221.54
1245, 167.01, 220.67
1246, 167.01, 220.67
1247, 167.01, 220.67
1248, 167.44, 219.70
1249, 167.18, 217.93
1250, 167.14, 217.64
1251, 167.10, 217.34
1252, 167.10, 217.34
1253, 167.10, 217.34
1254, 167.14, 217.64
1255, 167.18, 217.93
1256, 167.14, 217.64
1257, 167.14, 217.64
1258, 167.18, 217.93
1259, 167.18, 217.93
1260, 167.18, 217.93
1261, 167.18, 217.93
1262, 167.18, 217.93
1263, 167.18, 217.93
1264, 167.18, 217.93
1265, 167.18, 217.93
1266, 167.23, 218.23
1267, 167.23, 218.23
1268, 167.23, 218.23
1269, 167.18, 217.93
1270, 167.18, 217.93
1271, 167.23, 218.23
1272, 167.27, 218.53
1273, 167.27, 218.53
1274, 167.40, 219.41
1275, 167.44, 219.70
1276, 167.44, 219.70
1277, 167.52, 220.29
1278, 167.52, 220.29
1279, 167.80, 220.24
1280, 167.61, 220.87
1281, 167.61, 220.87
1282, 167.69, 221.46
1283, 167.54, 222.37
1284, 167.39, 223.28
1285, 167.39, 223.28
1286, 167.25, 224.19
1287, 167.20, 223.90
1288, 167.02, 224.52
1289, 167.02, 224.52
1290, 166.79, 224.85
1291, 166.83, 225.14
1292, 166.83, 225.14
1293, 166.37, 225.79
1294, 166.37, 225.79
1295, 166.37, 225.79
1296, 166.87, 225.42
1297, 166.64, 225.75
1298, 166.64, 225.75
1299, 166.68, 226.04
1300, 166.22, 226.69
1301, 165.95, 226.73
1302, 165.95, 226.73
1303, 165.72, 227.06
1304, 165.72, 227.06
1305, 165.72, 227.06
1306, 165.72, 227.06
1307, 165.72, 227.06
1308, 165.72, 227.06
1309, 165.72, 227.06
1310, 165.72, 227.06
1311, 165.99, 227.02
1312, 165.99, 227.02
1313, 165.45, 227.10
1314, 165.72, 227.06
1315, 165.99, 227.02
1316, 165.99, 227.02
1317, 165.99, 227.02
1318, 165.99, 227.02
1319, 165.99, 227.02
1320, 165.99, 227.02
1321, 165.72, 227.06
1322, 165.76, 227.35
1323, 165.27, 227.71
1324, 164.14, 227.60
1325, 163.87, 227.64
1326, 163.01, 227.48
1327, 163.01, 227.48
1328, 162.47, 227.57
1329, 161.57, 227.12
1330, 160.71, 226.97
1331, 160.71, 226.97
1332, 159.85, 226.81
1333, 158.14, 226.49
1334, 158.14, 226.49
1335, 157.01, 226.38
1336, 156.69, 226.13
1337, 156.15, 226.22
1338, 154.97, 225.82
1339, 154.92, 225.53
1340, 154.65, 225.57
1341, 153.52, 225.46
1342, 153.74, 225.13
1343, 152.88, 224.97
1344, 152.88, 224.97
1345, 152.93, 225.26
1346, 150.88, 224.70
1347, 150.29, 224.49
1348, 150.29, 224.49
1349, 149.04, 223.80
1350, 147.85, 223.40
1351, 147.04, 223.53
1352, 147.04, 223.53
1353, 146.93, 222.95
1354, 145.47, 222.59
1355, 145.14, 222.34
1356, 144.27, 222.18
1357, 144.27, 222.18
1358, 143.95, 221.93
1359, 143.67, 221.97
1360, 142.69, 221.23
1361, 141.82, 221.07
1362, 142.09, 221.03
1363, 140.50, 220.08
1364, 140.29, 220.41
1365, 139.90, 219.87
1366, 139.35, 219.96
1367, 139.02, 219.71
1368, 138.03, 218.96
1369, 137.69, 218.71
1370, 137.09, 218.51
1371, 136.42, 218.01
1372, 136.03, 217.46
1373, 135.96, 217.17
1374, 135.96, 217.17
1375, 134.69, 216.45
1376, 134.29, 215.90
1377, 133.40, 215.74
1378, 133.13, 215.78
1379, 133.13, 215.78
1380, 132.73, 215.23
1381, 131.51, 214.82
1382, 131.10, 214.26
1383, 130.36, 213.45
1384, 130.70, 213.71
1385, 129.81, 213.54
1386, 128.51, 212.82
1387, 128.51, 212.82
1388, 128.17, 212.56
1389, 128.17, 212.56
1390, 126.60, 211.89
1391, 125.70, 211.72
1392, 125.36, 211.46
1393, 124.12, 211.04
1394, 124.12, 211.04
1395, 123.50, 210.82
1396, 122.54, 210.35
1397, 122.54, 210.35
1398, 122.54, 210.35
1399, 121.77, 209.53
1400, 120.88, 209.36
1401, 120.88, 209.36
1402, 120.46, 208.80
1403, 118.66, 208.46
1404, 117.48, 208.34
1405, 117.48, 208.34
1406, 117.41, 208.03
1407, 115.88, 207.65
1408, 115.33, 207.74
1409, 115.33, 207.74
1410, 116.08, 207.30
1411, 114.98, 207.48
1412, 114.28, 206.96
1413, 112.90, 207.19
1414, 112.19, 206.66
1415, 112.19, 206.66
1416, 112.19, 206.66
1417, 110.93, 206.23
1418, 111.76, 206.09
1419, 109.28, 206.51
1420, 109.40, 205.85
1421, 108.02, 206.08
1422, 108.02, 206.08
1423, 107.94, 205.77
1424, 107.03, 205.60
1425, 106.76, 205.65
1426, 106.29, 206.05
1427, 104.83, 205.97
1428, 105.03, 205.62
1429, 103.93, 205.80
1430, 104.28, 206.06
1431, 104.20, 205.75
1432, 102.83, 205.99
1433, 101.29, 205.60
