Frame, X_cm, Y_cm
325, 29.14, 34.72
326, 29.14, 34.72
327, 30.90, 39.10
328, 29.15, 33.51
329, 29.68, 33.98
330, 29.68, 33.98
331, 28.98, 31.72
332, 28.80, 31.15
333, 28.98, 30.49
334, 28.81, 29.92
335, 28.81, 28.69
336, 28.81, 28.69
337, 29.35, 29.17
338, 29.35, 29.17
339, 29.00, 28.02
340, 29.36, 27.93
341, 28.82, 26.21
342, 28.47, 25.05
343, 28.65, 24.38
344, 29.37, 25.44
345, 28.83, 23.71
346, 28.48, 22.54
347, 28.84, 22.45
348, 28.48, 21.28
349, 28.30, 20.69
350, 28.12, 20.11
351, 27.94, 19.52
352, 28.31, 19.42
353, 28.31, 18.15
354, 28.31, 18.15
355, 28.31, 18.15
356, 27.95, 16.97
357, 28.31, 16.87
358, 27.95, 15.68
359, 27.95, 15.68
360, 27.95, 15.68
361, 27.95, 15.68
362, 28.14, 14.99
363, 28.51, 14.90
364, 27.96, 11.80
365, 27.96, 11.80
366, 27.60, 10.60
367, 27.60, 10.60
368, 28.15, 9.80
369, 27.79, 8.59
370, 27.60, 7.98
371, 27.97, 7.88
372, 27.97, 7.88
373, 27.79, 7.27
374, 27.98, 6.56
375, 27.79, 5.95
376, 27.98, 5.24
377, 27.98, 5.24
378, 27.98, 5.24
379, 27.98, 5.24
380, 27.98, 5.24
381, 27.98, 5.24
382, 27.98, 5.24
383, 27.98, 5.24
384, 27.98, 5.24
385, 27.98, 5.24
386, 27.98, 5.24
387, 27.98, 5.24
388, 27.98, 5.24
389, 27.98, 5.24
390, 27.98, 5.24
391, 27.98, 5.24
392, 27.98, 5.24
393, 27.98, 5.24
394, 27.98, 5.24
395, 27.98, 5.24
396, 27.98, 5.24
397, 27.98, 5.24
398, 27.98, 5.24
399, 27.98, 5.24
400, 27.98, 5.24
401, 27.79, 5.95
402, 27.79, 5.95
403, 27.79, 5.95
404, 28.16, 7.17
405, 28.16, 7.17
406, 27.79, 7.27
407, 28.34, 9.09
408, 27.41, 8.68
409, 27.41, 8.68
410, 28.34, 10.40
411, 27.97, 10.50
412, 28.15, 12.41
413, 28.15, 12.41
414, 28.15, 12.41
415, 28.14, 13.70
416, 28.14, 13.70
417, 27.59, 13.20
418, 27.40, 13.89
419, 27.77, 15.09
420, 28.13, 17.56
421, 28.13, 17.56
422, 27.76, 16.37
423, 27.58, 17.06
424, 27.58, 17.06
425, 27.58, 17.06
426, 27.95, 16.97
427, 27.76, 16.37
428, 27.76, 16.37
429, 27.76, 16.37
430, 27.95, 15.68
431, 27.95, 15.68
432, 27.58, 15.78
433, 27.58, 15.78
434, 27.76, 16.37
435, 27.76, 16.37
436, 27.76, 16.37
437, 27.76, 16.37
438, 27.76, 16.37
439, 27.76, 16.37
440, 27.58, 15.78
441, 27.58, 15.78
442, 27.76, 16.37
443, 27.58, 15.78
444, 27.58, 15.78
445, 27.40, 15.18
446, 27.03, 13.99
447, 27.03, 13.99
448, 27.03, 13.99
449, 27.59, 14.49
450, 27.40, 13.89
451, 27.40, 13.89
452, 27.22, 13.30
453, 27.22, 13.30
454, 27.22, 13.30
455, 27.41, 12.60
456, 27.41, 11.30
457, 27.22, 12.00
458, 27.41, 11.30
459, 27.78, 11.20
460, 27.41, 11.30
461, 27.41, 9.99
462, 27.97, 10.50
463, 27.78, 9.90
464, 28.15, 9.80
465, 28.34, 9.09
466, 28.53, 9.70
467, 28.71, 9.00
468, 28.71, 9.00
469, 28.71, 9.00
470, 28.90, 8.29
471, 29.28, 8.19
472, 29.28, 8.19
473, 30.02, 8.00
474, 29.47, 7.48
475, 29.47, 7.48
476, 29.47, 7.48
477, 29.47, 7.48
478, 29.47, 7.48
479, 29.47, 7.48
480, 29.47, 7.48
481, 29.09, 7.58
482, 29.28, 8.19
483, 29.28, 8.19
484, 29.28, 8.19
485, 29.28, 8.19
486, 29.28, 8.19
487, 29.28, 8.19
488, 29.28, 8.19
489, 29.28, 8.19
490, 29.28, 8.19
491, 29.28, 8.19
492, 29.28, 8.19
493, 30.21, 7.29
494, 30.58, 7.19
495, 31.89, 7.50
496, 32.26, 7.40
497, 32.08, 6.79
498, 33.56, 7.72
499, 33.56, 7.72
500, 33.75, 7.01
501, 34.13, 6.91
502, 35.61, 7.84
503, 35.43, 7.23
504, 35.98, 7.74
505, 37.10, 7.44
506, 38.58, 8.36
507, 38.95, 8.27
508, 38.95, 8.27
509, 39.88, 8.68
510, 40.62, 8.48
511, 41.55, 8.89
512, 41.55, 8.89
513, 42.84, 9.20
514, 42.84, 9.20
515, 42.84, 9.20
516, 44.31, 10.12
517, 44.68, 10.03
518, 44.68, 10.03
