rows: 268
6840,110,3313
24384,1377,9111
45115,2542,1242
65884,2621,2484
86104,4075,12010
107485,6327,7040
128453,7701,9525
148538,10463,18222
169984,14052,12838
190640,16209,10767
210672,19333,20293
230751,24603,31475
251198,32005,34374
270690,39169,38929
289251,47911,48869
307403,58954,60879
324664,71774,63364
342480,83804,56738
359231,95229,63778
374878,108118,74132
389927,123126,79516
405148,137965,77445
419186,152928,86556
432007,169569,94839
444901,186465,88627
457628,202565,93597
468980,219655,103536
478620,238314,115132
486393,258356,121758
494196,278129,118859
500982,297492,127971
505927,317655,138324
508589,337996,149920
508918,359487,159860
508853,380987,155718
508359,401500,164001
505949,421874,173941
501206,442586,185123
494040,462586,197961
484542,481317,210385
472568,499164,220325
460377,516577,216598
448072,533301,225295
434309,548514,236063
418561,562410,247659
401059,574454,259669
382621,585981,255113
365482,598138,253457
348360,608996,262154
329834,618366,272507
310209,625855,281619
290038,633292,274992
271128,641270,276649
251932,647791,286174
231364,654051,281205
211675,661392,279548
192324,667442,288245
171511,671729,296942
150689,675988,289902
130577,681169,291144
110874,684766,301084
89724,686897,303154
69200,690040,296114
48905,693071,303568
28175,694194,313922
6680,694649,308124
-14686,696989,299841
-34832,699287,306882
-55343,699740,316821
-76597,699541,311437
-97337,700634,310195
-117123,700653,318892
-138561,698998,321377
-159803,698432,311851
-180814,698556,317649
-201022,696941,327175
-221959,693284,332559
-243230,690181,324276
-263364,687767,329660
-283218,683672,340013
-303202,677205,350781
-323181,669257,349953
-342605,661909,353680
-360933,653244,363206
-378908,642378,373973
-396112,629892,376044
-413418,617975,376044
-429361,605451,385570
-444296,591032,396751
-457650,574822,408348
-468965,557130,420772
-478054,537929,433611
-485139,517888,437338
-492807,498063,433611
-499447,478907,442308
-504344,458732,452661
-507119,437912,463429
-508011,416430,466742
-509636,395482,462601
-510581,375473,470884
-509506,354985,481651
-507074,333867,480409
-505826,312403,476267
-504057,292451,484550
-500277,272038,494904
-494272,251911,505672
-487281,231579,501530
-481198,211721,503601
-473866,192820,513126
-464452,174317,523480
-452935,156754,535076
-439835,139704,535076
-427397,123072,537975
-414133,107740,547500
-399034,93492,557854
-382037,80745,569864
-363630,70136,581874
-344278,61978,594299
-323623,54435,590157
-304831,46812,592228
-285555,40530,601753
-265135,35577,603410
-244773,29494,594713
-225265,23123,600511
-205536,18457,610036
-184489,15496,615420
-163541,11919,606723
-143771,7396,607965
-123761,4149,617491
-103035,2953,627844
-81778,3074,626602
-60778,2333,626602
-40755,2827,635713
-19641,5271,641097
1531,7095,632400
21777,8247,636956
41864,10990,644824
63172,13843,637370
83865,15613,639440
103401,18741,648966
123934,23205,647309
144962,26274,639440
165031,29173,646481
184795,33695,653521
205537,38326,645653
226011,41809,647723
245240,46469,657249
264790,53451,668431
283655,62685,680027
301996,73430,679613
319888,83486,682097
336769,94711,692451
352915,108146,703219
368215,123252,705704
384045,137430,697006
399877,150869,702390
413984,165086,712330
426988,181267,723512
439180,198681,722269
451913,215397,721441
463047,231752,730138
473084,250203,740906
481736,269886,743391
490841,288823,740077
498986,307390,748774
505453,327117,759128
509679,347191,770724
511539,367866,781906
512500,389590,778179
514055,410299,781078
514008,430329,790189
511851,451222,800957
507259,471966,812967
500409,491561,824977
491046,510631,836987
479396,528398,848998
466724,545768,845684
454546,562587,851897
441204,577851,862250
425946,591924,874260
408701,604333,886271
390157,614714,893311
371778,625389,886271
354006,636131,891654
335850,645153,901180
316191,652547,911948
295857,658744,910705
276212,666190,903251
257709,673206,910291
237938,678682,921059
217037,682557,923958
196116,687494,914847
176279,692756,919816
156087,696390,929756
134933,698481,931827
113922,701677,924786
94110,704636,932241
73623,705741,942180
52371,706145,936796
31419,707751,935968
11393,708143,945079
-9568,706725,950049
-31049,705949,940938
-51813,706432,942180
-71825,705604,951292
-93034,704197,945908
-114046,704048,944251
-133794,702825,952948
-154577,699742,958746
-175673,697181,950049
-195869,695356,954605
-215858,691972,964130
-236595,687298,962060
-257343,683989,957090
-277032,680303,965373
-296980,674551,975726
-316209,666728,986080
-335566,657945,982353
-354091,649699,987737
-372080,639832,997676
-389124,627980,1008030
-406540,614960,1003474
-423790,602962,1005959
-439314,590307,1015899
-453955,575591,1027080
-466778,559267,1039091
-477774,541089,1051101
-486400,521675,1063939
-492386,501546,1076364
-497437,480899,1072636
-503042,460648,1075121
-507017,440767,1084647
-509013,420348,1095414
-508914,399095,1101627
-509105,377842,1096243
-509171,357565,1103283
-507379,337373,1113637
-503382,316751,1121920
-499122,295678,1115293
-496050,275632,1116536
-491794,256060,1125647
-485408,236306,1136001
-477580,216280,1134344
-470866,196626,1133930
-463215,177851,1142627
-453538,159486,1153809
-441723,142121,1164577
-429139,125293,1162920
-416550,109399,1170789
-402213,94385,1181143
-386171,80827,1191911
-368662,69227,1204335
-349684,59675,1216345
-329984,52377,1222971
-309922,44650,1217173
-291183,37573,1224628
-271654,32133,1234982
-250771,28159,1237052
-230127,23117,1228355
-210310,17788,1234154
-190358,14191,1243679
-169184,12347,1249063
-148075,9890,1240366
-127851,6393,1242022
-108173,4333,1250720
-87413,4245,1261902
-66190,5441,1259831
-45178,5417,1255689
