rows: 288
7084,115,2899
24670,601,4555
44888,2176,8282
66121,3020,-1242
87360,2134,-3313
107634,2277,5383
129345,3493,2484
150835,3052,-7454
171775,1307,-5798
192537,1009,1242
213542,647,-6212
234892,-1828,-16979
255158,-5064,-12838
276057,-7255,-12010
297251,-10829,-21949
318179,-16710,-30646
337901,-22380,-24020
358423,-26898,-22363
379127,-32675,-32303
398518,-39401,-31475
418379,-45475,-31060
438713,-53156,-41414
457628,-61732,-40172
476771,-69132,-36030
496546,-77557,-45141
515567,-88076,-56323
532995,-100239,-62536
549929,-111837,-60051
566893,-124634,-69576
582371,-139190,-81586
596268,-155900,-93597
607796,-174033,-106849
616680,-193062,-119274
624296,-211857,-116375
632258,-231563,-122587
638432,-252404,-133769
642164,-273568,-145365
644864,-294159,-140809
648182,-314660,-143708
649956,-336079,-154476
649851,-356846,-157375
650588,-377110,-151163
651041,-398602,-159446
649290,-420267,-170628
645700,-441219,-173527
643126,-461086,-167728
640072,-482364,-176011
635015,-502749,-186779
629186,-522428,-183466
623164,-542556,-190092
615020,-562444,-201688
604593,-581235,-214113
593284,-598363,-214113
581888,-616016,-217426
569084,-632666,-228194
554188,-648157,-239790
537345,-661894,-251800
519692,-673281,-259255
502501,-684489,-254285
484724,-695682,-262568
465685,-705115,-273750
445689,-712292,-285760
425786,-717298,-289901
405681,-722511,-290316
384808,-726490,-300669
363383,-728182,-311437
342629,-728925,-307710
322149,-730260,-311023
300903,-729896,-321377
280244,-727774,-324276
260009,-726460,-318063
238575,-724826,-326346
217645,-721154,-335043
197467,-717413,-328417
176917,-714416,-331316
155957,-709652,-341256
136347,-704489,-336700
115909,-700834,-328831
95009,-696977,-336700
74573,-691153,-345397
55123,-685421,-339185
34656,-680660,-338357
14278,-674635,-347882
-5561,-667002,-349953
-24598,-660768,-343326
-44961,-653881,-351609
-63963,-645506,-356993
-82905,-637613,-349539
-102887,-629680,-356165
-122033,-619915,-366933
-139866,-609271,-365690
-157918,-600039,-358650
-176766,-590220,-366519
-194781,-578498,-377286
-211139,-565702,-380185
-227806,-553733,-371902
-245627,-542146,-374801
-262466,-529186,-385155
-277764,-514440,-396337
-291758,-499764,-391781
-306847,-485493,-391367
-321382,-469991,-400893
-334530,-452683,-412075
-345386,-434416,-421600
-355348,-416752,-418701
-365233,-398216,-426984
-373295,-378294,-438580
-378891,-357799,-450590
-382302,-337561,-454732
-385649,-316818,-458873
-387187,-295380,-469641
-386309,-273907,-481237
-383020,-252914,-490762
-379524,-232940,-485378
-376084,-211966,-491591
-370679,-191417,-502772
-362722,-171192,-514783
-352512,-152562,-527621
-339973,-135413,-540460
-326991,-119517,-537147
-314260,-103109,-540046
-299763,-87241,-550813
-283592,-73085,-561581
-267414,-60063,-557854
-251868,-46291,-557440
-235071,-33275,-567793
-216944,-22192,-578975
-198966,-12293,-574834
-181345,-1301,-573591
-162681,8860,-583117
-142837,17111,-594713
-122560,23491,-597612
-103488,30374,-591400
-83209,37506,-598854
-62570,42554,-610036
-41486,45179,-622046
-20242,45194,-634885
170,43074,-639027
20623,41370,-636542
41928,38532,-646481
62597,33597,-655178
82515,28658,-648552
102997,25230,-643996
123589,21077,-653107
143723,15074,-658905
163256,9637,-651037
183717,4856,-654350
204181,-1712,-664289
223710,-8777,-659734
243584,-14809,-659319
263502,-22215,-668845
282531,-30535,-666774
301771,-37678,-663461
321623,-45919,-672572
340163,-55799,-679198
358192,-65076,-672158
377235,-74517,-678370
395535,-85789,-689138
412287,-97646,-687481
429589,-108218,-680441
447863,-119538,-687895
464949,-132575,-698663
480748,-145675,-694522
497407,-158077,-693279
513663,-171761,-703633
528704,-186083,-702391
544287,-199813,-701976
559327,-214826,-711502
572994,-230785,-713987
586907,-245874,-710673
600768,-262302,-720613
612623,-279934,-731795
622311,-298840,-744633
629465,-318843,-757472
633921,-339366,-769896
637177,-359383,-766997
640501,-380128,-773624
641814,-401334,-784806
640638,-423037,-796816
637063,-443983,-806341
633448,-463687,-800543
629855,-484388,-806341
624271,-504888,-817523
617478,-524515,-817109
611340,-544356,-817523
603639,-564423,-827463
594198,-583191,-833261
585586,-601277,-825806
576777,-620889,-831604
566394,-639428,-841958
