134661,-9881,-2019,30
213822,-10903,-1211,31
292499,-11160,1211,31
370421,-9239,3231,31
447003,-2395,6865,31
522511,5011,21001,31
599147,14225,10500,31
673552,26680,17366,31
749369,39950,17770,31
824883,54806,22213,30
899145,73075,25848,30
974106,94416,30290,29
1046274,118969,33521,28
1121526,133432,14943,29
1194489,151716,17366,28
1269335,165863,24636,29
1344092,186111,29079,29
1417316,205109,15347,29
1491128,224057,28271,29
1353393,274810,-140953,28
1364206,200348,-146607,28
1373824,124478,-146203,28
1380695,48554,-147011,29
1393169,-26090,-147819,29
1407404,-102698,-136106,29
1419115,-177225,-136510,29
1436068,-252802,-133683,29
1455349,-326552,-129644,29
1475528,-401052,-141761,27
1468692,-476197,-189418,24
1436240,-546379,-210824,24
1391379,-607895,-229402,24
1336248,-662258,-239499,26
1283189,-715956,-234249,28
1233640,-773738,-218094,29
1190274,-837326,-215266,30
1149256,-901874,-212439,31
1112311,-969270,-197496,31
1080069,-1036949,-204362,31
1049274,-1106008,-190630,32
1020734,-1176052,-201938,32
996682,-1247815,-194669,31
966506,-1317286,-200323,27
917397,-1374500,-251212,24
848961,-1408728,-278675,25
776780,-1431587,-289984,26
702305,-1448960,-287965,28
629143,-1471231,-285945,29
557130,-1498194,-274233,30
487069,-1528859,-272213,30
416583,-1559777,-273425,31
349646,-1593929,-266963,32
286181,-1632358,-263732,32
222007,-1672923,-262520,31
160162,-1714345,-258885,31
96795,-1756549,-249192,31
35268,-1798949,-256462,31
-26640,-1842409,-246769,31
111382,-1873080,-390146,28
68857,-1817132,-411955,28
28541,-1753594,-417609,29
-12700,-1689266,-422052,29
-53246,-1626867,-407108,29
-99960,-1566314,-404281,28
-142604,-1503512,-406301,29
-190176,-1444260,-401858,28
-232335,-1381479,-409128,29
-278947,-1321787,-402666,29
-328552,-1262298,-401454,29
-378652,-1204515,-398627,29
-429502,-1147716,-397819,29
-481462,-1090602,-396204,29
-528357,-1033745,-401858,29
-579472,-974901,-399031,29
-630347,-919113,-396204,29
-683181,-862807,-395396,29
-735935,-808453,-392973,29
-789653,-755049,-392165,29
-810305,-893405,-539580,28
-758231,-846942,-561390,28
-701678,-798503,-560178,28
-643659,-750289,-553312,29
-588217,-696906,-549677,29
-534094,-643603,-561390,28
-477796,-594125,-551293,29
-424577,-539886,-547658,29
-370793,-483131,-546850,29
