154441,-8429,-10904,29
220564,-15128,-9289,29
285349,-20372,-6865,30
350461,-24454,-5654,30
416344,-27916,-4846,30
481048,-30400,-2827,30
546266,-32112,-2423,30
611979,-33572,-2019,27
674004,-47318,-41599,24
729851,-82440,-70678,23
775337,-128867,-88449,23
813441,-181824,-100969,24
845095,-238871,-111874,26
874673,-295922,-106623,27
908318,-350674,-97334,30
946885,-403597,-90872,30
987303,-454810,-89660,32
1031126,-502146,-75121,32
1080282,-544294,-66639,32
1132173,-583432,-62601,32
1186280,-620752,-58158,32
1238584,-658088,-65832,31
1290765,-695178,-57754,32
1343618,-732585,-65428,30
1389865,-777556,-88853,25
1421749,-834474,-123182,24
1436197,-897343,-145799,23
1438944,-962526,-159935,24
1434240,-1026861,-168820,25
1425257,-1091727,-172859,27
1419391,-1154495,-159935,30
1418856,-1218511,-155896,30
1421481,-1283943,-150242,32
1428899,-1348269,-140953,32
1443057,-1410452,-128433,32
1461112,-1473144,-129644,32
1481023,-1533473,-120759,32
1504184,-1593679,-119951,32
1528434,-1654508,-118336,32
1550246,-1714437,-126009,31
1572643,-1773365,-115509,31
1594828,-1833938,-128433,32
1617463,-1892775,-112278,31
1624829,-1909556,-119143,31
1592880,-1824459,-123182,31
1626161,-1743033,-268578,30
1602756,-1751598,-289580,27
1540723,-1764130,-298869,27
1475623,-1771219,-307754,27
1412460,-1775142,-308158,28
1348994,-1781406,-300485,29
1283972,-1791023,-298465,29
1220910,-1802048,-295234,30
1156748,-1815145,-292811,29
1093283,-1829172,-292003,30
1031005,-1843996,-289580,30
967619,-1860442,-287964,30
905650,-1877459,-286753,29
843693,-1895419,-285137,30
781023,-1914411,-284330,29
719985,-1933719,-282714,30
658995,-1953965,-281502,30
596971,-1974972,-281502,29
536692,-1995795,-280291,29
475936,-2017473,-279483,29
414994,-2039356,-279887,29
355148,-2061393,-277867,29
294204,-2084676,-277464,29
234721,-2107677,-277060,29
175522,-2131397,-275040,29
169208,-2134031,-274233,29
258208,-2097324,-275848,29
341362,-2127480,-422052,28
326464,-2092926,-439015,28
310217,-2030750,-452343,27
298700,-1967776,-453958,28
285537,-1906374,-446284,29
268280,-1843458,-442650,28
253587,-1781650,-453150,29
239644,-1719669,-445073,29
222064,-1656081,-443457,29
203872,-1594192,-441842,30
185075,-1532995,-441034,30
165396,-1470281,-440630,30
145462,-1408931,-439015,30
124786,-1347827,-438207,30
103547,-1285882,-438207,30
82941,-1225786,-438207,30
61657,-1164116,-437803,30
40446,-1103454,-437399,31
17638,-1044421,-431341,31
-7469,-985532,-430533,31
-34540,-929412,-422052,32
-63845,-871671,-426494,31
-91048,-813180,-428918,31
-117576,-754916,-428110,31
-144793,-696701,-426898,31
-172691,-638268,-426494,31
-203579,-583312,-413570,31
-236512,-528414,-420840,31
-266974,-472107,-422456,31
-297203,-416230,-420840,32
-328796,-360550,-418417,31
-360138,-305570,-420436,31
-391266,-250189,-419628,31
-394510,-244444,-420032,31
-347916,-328131,-420840,31
-367826,-414314,-567044,30
-335334,-396833,-590873,27
-275760,-375480,-596931,28
-214711,-356207,-598546,28
-154285,-336593,-595315,29
