197289,9078,5250,31
276753,14553,8481,31
355775,22393,11308,30
432774,32787,15347,30
510580,46006,18174,29
586155,61797,23021,29
663685,77140,6865,28
738136,83880,14943,28
644386,193441,-135299,29
655184,125021,-153069,28
660356,48543,-158724,29
665529,-26433,-144184,29
677352,-104215,-140953,29
686888,-180251,-155492,29
694871,-256205,-141357,29
707857,-333309,-138933,29
722730,-409323,-136106,29
733041,-486137,-153069,29
744601,-560950,-137722,29
761061,-638136,-134895,29
778422,-712869,-133279,29
797932,-788333,-131260,29
817068,-863117,-141761,29
833300,-936519,-130452,29
854665,-1011733,-128836,29
877014,-1084873,-126009,28
892988,-1159038,-133683,30
913888,-1232848,-126413,30
938711,-1306734,-123586,29
967029,-1159432,-291195,28
890715,-1173938,-299273,29
817600,-1191403,-295234,28
742350,-1207214,-287560,29
668281,-1229005,-283522,28
594152,-1247573,-285541,29
519919,-1270520,-282310,29
446523,-1290849,-286349,29
372014,-1314547,-281502,29
299077,-1340610,-277867,29
225446,-1368256,-289176,28
154015,-1391672,-277060,29
80845,-1419834,-288772,28
8171,-1439955,-279483,30
-64902,-1468437,-275040,29
-136401,-1498228,-273828,29
-206917,-1529676,-270597,29
-277961,-1562915,-270193,29
-346932,-1596523,-269386,28
-418007,-1626554,-269386,29
-486797,-1661071,-265751,29
-555605,-1698717,-265347,28
-625227,-1727099,-268578,29
-693988,-1763268,-263731,29
-761972,-1801396,-262520,29
-827937,-1840093,-259692,29
-702999,-1911330,-418820,27
-726035,-1844678,-440226,28
-750432,-1773040,-430533,28
-774367,-1702267,-432148,29
-805413,-1629441,-430533,30
-837295,-1558047,-428109,30
-871001,-1485874,-427302,30
-904184,-1416155,-425686,31
-939126,-1346480,-424475,31
-973545,-1278457,-423667,30
-1006608,-1208007,-440226,25
-1007791,-1132305,-489095,24
-986015,-1057351,-510096,24
-952630,-988568,-518578,26
-917474,-919841,-522617,27
-884035,-852222,-504442,29
-862127,-778955,-498384,29
-841893,-703428,-496769,30
-823865,-629105,-493941,31
-806351,-553152,-493538,31
-793716,-478381,-474555,31
-786462,-403284,-476575,31
-777809,-327318,-483441,31
-766760,-252136,-486268,28
-739295,-179344,-533925,25
-684959,-124257,-564620,24
-620089,-84785,-577948,25
-552054,-49328,-577140,27
-484263,-11874,-574313,29
-424188,34580,-558562,29
-364303,84855,-558562,30
