215670,-29652,2019,29
285482,-26601,6058,29
355166,-21359,9289,29
422690,-17435,8077,30
492317,-9143,14135,29
560272,2204,18174,28
626516,13356,9693,28
695800,11297,-23021,24
758741,-16603,-55735,23
814145,-58640,-73909,23
861089,-108031,-84814,24
905498,-161668,-86026,26
950230,-212456,-84006,28
998041,-261684,-69870,29
1049391,-307539,-71486,30
1102514,-349859,-65024,30
1159076,-391723,-62601,31
1214122,-431525,-61793,31
1271373,-466514,-54119,31
1330378,-503955,-57350,32
1388018,-534371,-42407,31
1448444,-564817,-46849,31
1509107,-596973,-48869,28
1560901,-639585,-98950,24
1589048,-702447,-129240,23
1604259,-769133,-139741,24
1611806,-838085,-150242,26
1617544,-905511,-145799,27
1626899,-973773,-144184,28
1641505,-1040781,-130048,29
1661539,-1105680,-125202,29
1683552,-1171748,-124798,30
1705874,-1236159,-121971,31
1729715,-1300288,-121163,31
1754053,-1365274,-121163,32
1781100,-1426403,-105008,31
1810719,-1486932,-104200,31
1841515,-1547691,-103796,31
1872303,-1607079,-113489,31
1902529,-1668983,-114297,31
1947757,-1531097,-245961,28
1894660,-1563116,-264540,28
1834896,-1594358,-267771,28
1772895,-1623845,-272213,29
1712218,-1654274,-273021,29
1651597,-1682045,-275848,29
1590194,-1713129,-262116,29
1529799,-1744599,-271405,29
1472533,-1779196,-257674,28
1412572,-1811002,-258481,29
1355347,-1846586,-267367,29
1296867,-1881978,-256866,28
1238531,-1914215,-255654,29
1183331,-1953373,-252019,28
1126050,-1987465,-254847,29
1070661,-2026766,-259693,28
1012422,-2059271,-256866,29
956083,-2098924,-249596,29
901852,-2136347,-260097,29
846870,-2177421,-248385,28
791786,-2214509,-246769,29
737626,-2253721,-258078,29
683363,-2295743,-244750,29
832159,-2289223,-412763,28
795692,-2233395,-418013,28
759685,-2176954,-414782,28
723999,-2118299,-418417,28
688464,-2062226,-405493,28
650471,-2007125,-415994,28
614426,-1951083,-406705,29
573175,-1898676,-411955,28
535083,-1843387,-405089,29
491385,-1790440,-399031,29
450041,-1739105,-402262,29
408529,-1685716,-403473,29
363929,-1635149,-405089,29
322474,-1583871,-408320,29
279538,-1532848,-408724,28
236984,-1482872,-394588,29
192628,-1432482,-398223,29
144905,-1384509,-390549,28
99778,-1338156,-387722,29
51762,-1289562,-400646,29
7193,-1242292,-390146,28
-37220,-1193240,-402666,29
-83719,-1143440,-401454,29
-131247,-1097743,-386915,29
-176835,-1049493,-392569,29
-226589,-1003990,-384491,29
-274813,-959410,-388126,29
-323193,-911530,-399839,29
-371881,-867084,-383684,28
-418281,-820654,-390549,29
-437236,-956211,-531907,27
-401561,-921893,-554120,28
-352173,-876691,-554120,28
-305480,-830493,-552908,28
-257964,-784126,-544023,29
