157175,-19137,-24232,28
208387,-33790,-31502,27
259894,-50805,-32310,28
310337,-67922,-33117,28
359964,-82774,-25040,29
412623,-95791,-23424,29
464105,-107419,-21001,29
514854,-117809,-19386,29
566250,-130844,-30290,28
614948,-151192,-48869,25
658408,-180270,-69063,24
696697,-217653,-85622,23
728243,-260575,-101777,23
752819,-307282,-115509,24
771493,-357951,-128029,24
784928,-409244,-134895,25
796124,-460821,-136510,27
808407,-511900,-130452,29
822462,-563026,-130048,31
839292,-612017,-117932,32
860801,-660215,-112278,33
885795,-707254,-104200,34
914935,-750082,-90468,34
948558,-790129,-84006,33
984501,-829110,-81179,33
1021589,-866661,-77140,33
1059266,-902566,-75121,32
1097913,-937790,-72698,32
1136352,-975018,-81179,31
1172094,-1012850,-81583,29
1203905,-1054351,-101777,25
1226010,-1103352,-127625,24
1236636,-1154800,-145799,23
1236837,-1208556,-167609,22
1227133,-1260684,-183360,24
1211694,-1310387,-191034,24
1190760,-1360164,-202746,25
1167486,-1407535,-202746,27
1145220,-1454036,-200727,29
1125232,-1501561,-193053,30
1107491,-1551787,-189014,32
1094963,-1601546,-174475,33
1088136,-1653142,-165993,33
1085777,-1705868,-157108,34
1086716,-1758394,-153473,34
1090586,-1810296,-145799,33
1097800,-1861839,-140549,33
1106064,-1913967,-142165,32
1114251,-1965612,-140549,32
1122297,-2017032,-142568,31
1128127,-2068505,-149030,31
1131961,-2119919,-150242,31
1138302,-2169607,-138530,31
1143998,-2205071,-143780,31
1131362,-2110618,-143780,31
1181734,-2037315,-290792,30
1177669,-2038170,-296042,28
1131010,-2043061,-311389,27
1078508,-2041227,-323910,26
1026548,-2033481,-334006,26
976692,-2021340,-342084,26
927647,-2004666,-351777,26
879250,-1984868,-354200,28
831980,-1966197,-349354,29
784635,-1947717,-353393,29
736612,-1929639,-346931,30
686507,-1913055,-345315,31
636949,-1897974,-342084,31
586997,-1886236,-332391,32
535651,-1877731,-328756,32
484693,-1871706,-323102,31
434041,-1865197,-330775,31
383098,-1855805,-334006,31
333298,-1848484,-323506,32
282802,-1842719,-327544,31
233173,-1838067,-319467,32
181345,-1833314,-327140,31
131445,-1828941,-318659,32
81705,-1825694,-322698,31
31430,-1823226,-315428,31
-18573,-1820266,-324717,32
-68472,-1815893,-321082,31
-119425,-1812463,-320678,31
-170836,-1808585,-322698,31
-220062,-1804971,-320275,31
-268904,-1803364,-314620,31
-319234,-1804149,-310581,31
-323385,-1804306,-310178,31
-229630,-1800571,-310178,31
-161706,-1856079,-455170,30
-164086,-1826364,-471325,27
-159861,-1774735,-487480,26
-147998,-1724311,-501212,26
-131860,-1675602,-505251,26
-112448,-1626786,-512924,26
-90698,-1579233,-515348,27
-68417,-1533011,-516963,28
-44987,-1486811,-519386,29
-22881,-1440233,-511713,29
-3440,-1392746,-508482,30
15028,-1344611,-507270,30
33280,-1295871,-506866,31
51105,-1246453,-504847,31
65746,-1198039,-496365,31
77317,-1149302,-492730,32
88881,-1098307,-494346,31
99315,-1049564,-490307,32
109946,-1000865,-495154,31
121013,-952513,-492326,31
131900,-903119,-493538,31
141399,-854435,-487480,32
151069,-803792,-492730,31
160956,-754189,-489095,31
168818,-704966,-485057,32
176631,-654746,-488288,31
185600,-604471,-489499,31
194140,-554866,-487076,32
202079,-505161,-487076,31
210297,-455005,-487884,32
218697,-405624,-488288,31
225563,-356252,-481826,31
230705,-306917,-481422,32
236670,-255706,-484249,31
240856,-205791,-474960,31
241906,-155955,-471729,32
243084,-104900,-475364,31
245614,-53650,-476979,31
248414,-3148,-476575,31
251505,47091,-478191,31
253672,97135,-472940,31
253853,102263,-476575,31
247905,11561,-478999,31
185418,-49305,-623183,29
215433,-50856,-643781,25
264807,-62909,-660744,25
312179,-81985,-672456,25
356997,-106466,-684169,25
398945,-134726,-691035,26
