125974,-9430,-14943,29
179614,-17505,-14943,30
233091,-25005,-12924,31
286198,-31581,-11712,31
339812,-35485,-2827,32
393564,-34834,5250,31
446308,-32916,2019,32
499330,-32595,-807,31
551834,-30791,7673,31
605094,-29931,-4442,27
659282,-40569,-34329,24
708355,-63686,-53715,23
751790,-95358,-72294,23
789955,-135269,-89257,23
821847,-178846,-98546,24
849184,-225416,-109450,25
873272,-274019,-112681,27
898155,-319731,-101777,29
926355,-365209,-101373,30
955958,-410665,-97334,32
989005,-453063,-84410,33
1025882,-491162,-75929,33
1066364,-526158,-66639,33
1109798,-557831,-59370,33
1154334,-587498,-58158,33
1199540,-615673,-53311,33
1246368,-643052,-52504,33
1293258,-669836,-51292,31
1337785,-697714,-60581,30
1380136,-731999,-75525,27
1414304,-774758,-103796,24
1437999,-823554,-119951,23
1452530,-876830,-140953,23
1457285,-930375,-155492,24
1455079,-984575,-166801,24
1447790,-1038821,-174071,26
1439141,-1091134,-172859,28
1433225,-1143088,-163974,29
1429198,-1198164,-164782,31
1427778,-1251657,-154685,33
1432108,-1304012,-142972,33
1442022,-1356846,-134087,34
1456586,-1408592,-125202,34
1474233,-1459628,-122374,33
1493358,-1509343,-118336,33
1514661,-1559230,-115105,32
1536169,-1608763,-117124,32
1557092,-1656950,-115105,32
1579397,-1706129,-113893,32
1600313,-1755384,-119951,32
1621619,-1802869,-109854,32
1643910,-1850979,-117528,31
1649634,-1865006,-119143,31
1617600,-1779158,-123586,31
1651023,-1698319,-268982,30
1630646,-1705915,-287964,27
1579111,-1716110,-301292,26
1525275,-1720328,-311389,26
1472743,-1720828,-315024,27
1418989,-1720363,-315024,28
1364037,-1718666,-319467,29
1311503,-1718529,-309370,29
1257844,-1721753,-306947,29
1203253,-1725697,-306947,29
1149669,-1730004,-305331,30
1095636,-1734786,-305331,30
1041135,-1739831,-304523,31
987882,-1745087,-304120,31
935623,-1750458,-303716,31
881673,-1756112,-303716,31
828836,-1764582,-292811,32
776700,-1774241,-298869,32
725673,-1783163,-294830,31
674617,-1793263,-294427,31
623652,-1804960,-288772,31
572901,-1816499,-294830,31
522032,-1828607,-286753,32
470208,-1841942,-291195,31
421172,-1855301,-283926,32
370249,-1869174,-291195,32
319380,-1881282,-290388,31
269609,-1893768,-288772,31
220384,-1908253,-282310,31
169692,-1922947,-289580,32
134957,-1933857,-277868,31
226970,-1896774,-273829,31
310367,-1924752,-419225,30
308507,-1921313,-424071,28
290069,-1875792,-441438,27
277637,-1823493,-454362,26
271031,-1770637,-463247,26
268012,-1716476,-468094,27
266423,-1662499,-468498,28
265394,-1609242,-470113,28
264345,-1555007,-468498,29
261787,-1501312,-464459,29
257535,-1448214,-462036,30
252379,-1394706,-461228,30
246909,-1340246,-461228,31
241105,-1286804,-459612,31
234733,-1233181,-459209,31
226635,-1180533,-452747,31
216192,-1129296,-449516,32
204609,-1077804,-448708,31
193289,-1027004,-449919,32
183585,-975125,-455574,32
174947,-923801,-453554,32
162238,-873079,-439822,32
147400,-820649,-447496,31
134649,-770190,-445477,31
119439,-720671,-437399,31
103688,-669019,-445881,31
89551,-618676,-441842,31
72552,-569744,-433764,31
54868,-519497,-441034,31
39674,-468188,-443861,31
23248,-419318,-433764,31
5564,-369071,-441034,31
-10163,-318946,-440630,31
-27573,-270418,-432957,32
-47271,-220926,-433764,31
-67168,-171514,-432149,31
-87057,-121836,-434168,31
-107180,-74103,-428514,31
-127879,-25553,-433360,31
-143026,8626,-425687,32
-98376,-80236,-423667,32
-120247,-165438,-569063,30
-116531,-163086,-574718,28
-73348,-142377,-592488,27
-21565,-127059,-606624,26
29934,-116686,-610259,27
82741,-108033,-613894,27
