135138,-14728,-15751,29
212698,-21640,-4038,29
290870,-23160,-807,29
369781,-24528,-2827,29
447469,-25967,-1211,30
525883,-27715,-3231,30
603048,-34976,-27463,25
670550,-74067,-73505,24
722157,-129775,-86833,25
767900,-193701,-98950,27
811997,-256158,-92084,28
862641,-315920,-80371,29
916601,-371490,-79967,30
970548,-426732,-79967,31
1027050,-480268,-65024,32
1090152,-524314,-58966,31
1150989,-572139,-58562,32
1216448,-613978,-65024,32
1281213,-656301,-62197,32
1342475,-700415,-57754,30
1396744,-755254,-106623,25
1421977,-828276,-134491,25
1431978,-905946,-154281,25
1431921,-983140,-154281,27
1433269,-1061560,-153877,29
1444233,-1138941,-140145,29
1458696,-1215533,-138126,30
1473174,-1293366,-138934,31
1491147,-1367574,-122375,31
1512306,-1441756,-120759,31
1534662,-1516601,-121567,32
1565626,-1588914,-122375,32
1595938,-1661448,-125606,32
1624638,-1732522,-123182,31
1649720,-1805781,-113893,32
1727587,-1684082,-266559,28
1659409,-1706448,-287561,28
1582768,-1724143,-295638,28
1508246,-1744877,-280695,28
1433312,-1762980,-288772,30
1356356,-1785349,-283926,29
1281816,-1809756,-281906,29
1206730,-1834850,-281906,30
1133077,-1860357,-279887,30
1058207,-1886831,-280291,30
984303,-1913098,-279079,30
910218,-1940307,-279483,31
836943,-1966886,-278271,31
765866,-1996301,-273829,31
693653,-2024299,-276656,32
624862,-2057045,-272617,32
555359,-2092185,-273021,31
487716,-2127069,-266559,31
417561,-2160460,-271405,32
349831,-2197378,-268174,31
485422,-2245857,-426898,28
457825,-2175343,-437399,28
430108,-2101495,-440226,28
404585,-2029518,-429322,29
375356,-1957141,-445477,29
350162,-1885553,-431341,29
318559,-1813769,-429322,29
286837,-1742035,-428918,29
253956,-1671634,-427302,29
220339,-1599958,-427302,30
186459,-1530304,-425283,30
151516,-1459265,-426091,30
117384,-1388647,-425687,30
82851,-1318223,-426091,31
48785,-1248390,-422860,32
8711,-1182739,-421648,31
-32594,-1116188,-416398,31
-72372,-1050611,-405897,31
-116538,-985600,-416398,31
-157844,-920981,-404281,31
-200706,-855916,-415994,32
-246089,-793848,-411551,31
-288943,-731416,-401050,31
-335628,-668500,-410339,32
-385828,-610560,-405493,31
-434593,-550816,-393377,31
-475272,-686757,-555736,27
-414499,-651481,-577545,28
-346080,-615186,-582795,28
-276556,-582199,-575122,29
