28588,-57,-403,30,0
71591,-405,-1211,30,0
115085,-405,1211,30,0
160520,696,3634,30,0
203024,1726,1211,29,0
245294,2153,807,29,0
290007,1701,-2827,29,0
352961,-1606,-7673,29,1
437334,-9982,-12116,29,1
483464,-15221,-10500,30,0
526194,-20074,-12116,29,0
566835,-25858,-16155,28,0
609099,-36124,-31502,25,0
648779,-54522,-55331,23,0
683857,-80648,-72698,23,0
715534,-114588,-91276,23,0
739557,-152302,-109450,23,0
756869,-193530,-125202,23,0
768674,-243969,-142972,23,0
771962,-289298,-156704,23,0
768722,-334876,-171648,23,0
759567,-387598,-176898,24,0
748562,-430938,-186995,24,0
734316,-474611,-190226,25,0
714704,-526755,-195880,26,0
697358,-568234,-197496,27,0
678400,-610880,-200323,27,0
656318,-663091,-193861,28,0
641047,-702246,-194669,28,0
625746,-742437,-192245,29,0
607110,-790508,-195880,29,0
592309,-830104,-189822,30,0
579906,-869748,-184976,31,0
562736,-916544,-199515,30,0
547035,-954737,-192649,30,0
527782,-991820,-217286,26,0
500387,-1024013,-237884,25,0
458622,-1055476,-261308,24,0
421035,-1074280,-274233,24,0
380697,-1089878,-280291,25,0
319853,-1108990,-287157,26,0
275389,-1120527,-290388,27,0
232168,-1130999,-290388,28,0
168381,-1144692,-295638,29,0
123567,-1154786,-288368,30,0
82501,-1165796,-287561,30,0
31956,-1180116,-285541,31,0
-8516,-1193915,-277060,31,0
-48531,-1210325,-273425,31,0
-96115,-1232589,-267367,31,0
-134240,-1251952,-266963,30,0
-172897,-1270230,-273021,30,0
-217786,-1294065,-257674,30,0
-254504,-1315010,-266963,30,0
-290251,-1334176,-262924,31,0
-339244,-1357462,-276656,31,0
-376486,-1373531,-270194,31,0
-414298,-1391879,-267771,32,0
-451909,-1411173,-265751,33,0
-502461,-1438408,-263732,33,0
-539263,-1459205,-261712,33,0
-562602,-1473023,-259693,33,2
-306297,-1532702,-414378,32,0
-308127,-1529812,-415186,32,0
-328448,-1498432,-412359,32,0
-351630,-1462792,-414782,32,0
-373684,-1427016,-417205,32,0
-402343,-1379242,-417205,33,0
-425141,-1345104,-407512,34,0
-451859,-1310784,-402666,34,0
-489227,-1266225,-400243,33,0
-517511,-1235139,-394588,33,0
-546110,-1206032,-392569,33,0
-588312,-1164613,-390953,33,0
-618544,-1135771,-389742,32,0
-649228,-1107772,-386511,32,0
-692494,-1070019,-385299,32,0
-725406,-1042337,-382876,31,0
-757486,-1016336,-381664,31,0
-802975,-981696,-376818,30,0
-836166,-956315,-382068,30,0
-868386,-928201,-389742,31,0
-899322,-901968,-379241,31,0
-946488,-865900,-379645,30,0
-980384,-839433,-381260,30,0
-1013008,-812552,-384895,30,0
-1058818,-776333,-377221,31,0
-1092167,-752397,-375606,31,0
-1126523,-726125,-383280,30,0
-1178668,-695737,-350566,30,0
-1240945,-669228,-358239,30,1
-1278072,-650600,-363086,30,0
-1332283,-619883,-368336,30,0
-1367786,-598319,-369144,30,0
-1402943,-578585,-361470,31,0
-1459359,-547812,-366721,30,0
-1469351,-542150,-364701,30,2
-1394930,-795333,-520598,31,0
-1386511,-779608,-520194,32,0
-1367541,-743479,-518983,32,0
-1348117,-706486,-520194,32,0
-1316390,-648363,-522214,33,0
-1295644,-611252,-522214,34,0
-1278653,-574690,-507270,34,0
-1256229,-513685,-505655,33,0
-1242208,-473806,-504443,33,0
-1229942,-434119,-497981,33,0
-1220402,-392437,-489499,33,0
-1210547,-326462,-482634,32,0
