25618,-1398,-10904,30,0
65155,-3315,1211,31,0
106449,-3566,-2423,32,0
151612,-5482,-6058,32,0
193279,-8601,-8885,33,0
233572,-9985,2019,34,0
278426,-6900,11712,34,0
322091,124,20193,34,0
365470,9922,24232,33,0
407237,22055,32310,33,0
495550,53020,35137,33,1
584954,88066,39580,32,1
623275,104719,42407,31,0
664989,123959,44022,30,0
706034,140432,32310,30,0
745243,151736,23828,28,0
791305,157533,1211,25,0
835852,153655,-18578,23,0
879059,142138,-33521,23,0
917594,124176,-53715,22,0
959326,93486,-73101,22,0
991305,61883,-82794,23,0
1019901,26245,-96122,23,0
1047786,-21701,-112681,23,0
1064781,-63589,-124394,24,0
1077270,-107287,-134087,24,0
1088687,-162565,-139337,25,0
1095876,-210408,-144992,26,0
1100936,-255082,-146607,28,0
1107006,-305050,-143376,29,0
1114239,-351898,-140145,30,0
1123354,-397421,-134491,31,0
1137520,-447755,-124798,32,0
1152469,-487817,-117932,32,0
1170428,-528501,-113085,32,0
1193602,-574556,-107835,32,0
1214605,-611523,-102988,31,0
1237782,-647747,-97334,30,0
1264671,-692309,-108239,29,0
1278484,-732519,-139741,24,0
1280929,-775944,-163166,23,0
1268911,-828590,-195880,22,0
1248881,-867747,-212843,22,0
1222597,-903316,-228594,22,0
1174568,-945642,-255250,22,0
1136090,-968423,-266155,23,0
1094882,-986401,-279887,23,0
1030147,-1002502,-299677,23,0
985219,-1007486,-306543,24,0
940071,-1009741,-311793,25,0
869721,-1007995,-321486,26,0
825288,-1006174,-315024,29,0
780334,-1005422,-316640,30,0
717784,-1004880,-313409,31,0
674879,-1007806,-301292,32,0
633596,-1014253,-296042,32,0
592195,-1022791,-291599,32,0
536230,-1037675,-284733,33,0
494610,-1051118,-281098,32,0
455200,-1065720,-276252,32,0
403330,-1087977,-271002,32,0
363399,-1107552,-266155,31,0
323967,-1125905,-275040,31,0
273737,-1146385,-275848,30,0
237476,-1160999,-275848,30,2
478311,-1265243,-434168,31,0
478311,-1265243,-434168,33,0
465718,-1232649,-434572,32,0
450983,-1193812,-435380,32,0
436562,-1154856,-436188,32,0
416738,-1098887,-438207,32,0
402636,-1057485,-438611,32,0
389005,-1017730,-437803,33,0
369921,-962796,-437803,33,0
354833,-919925,-436995,33,0
340229,-878956,-436995,34,0
315914,-826398,-418821,33,0
294784,-789505,-419629,33,0
272617,-751517,-417205,33,0
241383,-701307,-413974,33,0
218249,-666513,-411147,32,0
193998,-631889,-409128,32,0
167972,-596434,-406705,31,0
131402,-549656,-403070,31,0
104840,-517720,-400646,31,0
78587,-484277,-408724,30,0
43254,-432955,-413167,30,0
20809,-398294,-414378,30,0
-2126,-364248,-409532,30,0
-37864,-311428,-413974,30,0
-61554,-277605,-406301,31,0
-111052,-219303,-395396,31,1
-153617,-172140,-400242,30,0
-180087,-140445,-403070,30,0
-205565,-108258,-405493,30,0
-242847,-58946,-407512,30,0
-270254,-22998,-404685,30,0
-297485,8045,-393780,30,0
-325129,38060,-399839,30,2
-328643,-232651,-545235,31,0
-321874,-225267,-545639,33,0
-295437,-195477,-542004,33,0
-266406,-162763,-545639,32,0
-222266,-115388,-546850,31,0
-193346,-84222,-545235,31,0
-162236,-51764,-550081,30,0
-131370,-21819,-552504,31,0
-90034,27703,-529080,29,0
-65515,63033,-534734,28,0
-37550,98237,-542004,28,0
7990,147314,-550081,28,0
38979,176422,-555736,28,0
73437,205301,-561390,28,0
129503,246607,-568256,29,0
164484,271623,-564217,30,0
200550,298874,-563005,30,0
288943,370263,-557755,30,1
319343,399283,-546446,31,0
376583,440218,-586026,30,0
412138,458704,-574718,33,0
478910,498917,-573506,33,1
533959,539130,-556947,35,0
564949,568594,-547658,35,0
592548,601255,-535138,34,0
632020,660398,-525041,33,0
654742,696622,-529483,33,0
686767,745456,-529080,33,1
725931,803628,-531907,31,0
769620,865507,-533522,31,1
810041,921311,-534330,31,0
838136,954833,-547658,31,0
864946,985918,-537157,31,0
907040,1041395,-535138,32,0
933196,1076450,-535542,32,0
959059,1111114,-535138,32,0
983620,1144311,-534734,32,0
1024929,1201584,-532715,33,0
1047835,1234166,-532311,34,2
787608,1186111,-687804,33,0
787608,1186111,-687804,31,0
815612,1167328,-686996,32,0
849479,1145006,-686188,32,0
884162,1122147,-686996,32,0
946438,1079458,-689823,33,0
980912,1057625,-679726,34,0
1019439,1037973,-671245,34,0
1090383,1009405,-661955,33,0
