25376,-1333,-10500,31,0
65162,-3182,1211,31,0
106698,-2679,1211,31,0
152145,-2312,403,32,0
219579,-1495,2019,32,1
304112,-129,1211,32,1
348787,1766,7269,34,0
389491,4647,6865,33,0
428102,10780,24636,34,0
471231,21625,24636,33,0
513142,33252,29483,31,0
554794,41779,10904,28,0
599016,41154,-13731,24,0
640592,30161,-37964,23,0
679815,10807,-53715,23,0
717978,-15629,-67447,23,0
751207,-45915,-80371,23,0
780063,-80710,-95315,23,0
806953,-125271,-110258,24,0
825956,-166287,-117124,25,0
843869,-210439,-119951,26,0
863314,-261602,-121567,28,0
879621,-303238,-117932,29,0
897265,-344325,-115105,31,0
920162,-389151,-104604,31,0
942438,-425077,-98546,32,0
966848,-460186,-94103,32,0
993447,-494598,-88449,32,0
1026360,-533004,-84006,32,0
1055725,-564087,-78756,32,0
1086444,-593480,-73909,32,0
1124471,-626086,-67851,31,0
1157559,-654690,-74717,30,0
1188159,-683498,-76332,29,0
1219417,-720425,-97334,25,0
1238495,-760326,-127625,23,0
1245684,-803964,-153877,22,0
1240032,-855456,-182148,21,0
1227046,-896966,-192649,21,0
1206315,-936309,-218497,22,0
1166572,-983979,-234653,22,0
1132233,-1013752,-250808,22,0
1094639,-1037047,-266559,22,0
1037799,-1059423,-286753,22,0
993526,-1068554,-300889,22,0
948962,-1072226,-310985,22,0
886577,-1067647,-331987,23,0
842510,-1057573,-341276,23,0
800812,-1043584,-351777,23,0
742582,-1015826,-365509,24,0
703576,-992027,-372375,24,0
666276,-966491,-376010,25,0
617479,-930562,-379241,26,0
580501,-901689,-381664,27,0
545383,-873226,-382876,29,0
502316,-837886,-382876,30,0
467130,-812738,-369548,31,0
428772,-789757,-366721,31,0
390460,-768658,-362278,31,0
337795,-743421,-355412,31,0
298383,-726833,-352585,31,0
295431,-725660,-351373,31,2
398552,-966181,-510097,32,0
408649,-941799,-510905,31,0
424886,-903035,-510905,31,0
440951,-864464,-510501,31,0
463041,-811726,-511309,31,0
480374,-771038,-511713,31,0
496768,-732339,-510905,32,0
518246,-679877,-509289,31,0
534754,-638847,-509693,32,0
551080,-598271,-509289,32,0
572083,-544828,-508078,33,0
586901,-505499,-506462,33,0
602412,-463300,-506462,33,0
617251,-422676,-506058,33,0
633070,-367985,-492730,34,0
642228,-327218,-493942,33,0
649824,-284641,-483845,33,0
661374,-227895,-498789,34,0
670425,-187604,-487884,34,0
678006,-147011,-491519,33,0
685979,-87927,-477787,34,0
688590,-45491,-476979,34,0
688376,-4197,-464459,34,0
684234,55034,-464055,32,0
680907,97665,-462843,32,0
677134,138541,-461228,32,0
663748,247433,-456785,31,1
659560,289988,-466074,30,0
656832,349790,-467286,30,0
655694,391314,-469709,30,0
654280,433562,-466075,30,0
650860,475205,-460016,31,0
644687,532048,-460824,30,2
479631,324268,-615913,31,0
479631,324268,-615913,33,0
511855,328484,-614702,33,0
553954,334425,-613894,32,0
596791,340383,-615105,32,0
659473,349100,-613894,32,0
702261,355403,-613490,32,0
746700,362225,-612682,32,0
810994,373294,-609855,32,0
852467,381474,-607836,32,0
895972,390695,-607028,32,0
961174,405897,-603797,32,0
1002075,416572,-601777,32,0
1043482,428187,-600162,32,0
1109986,448007,-598546,32,0
1150166,461139,-594911,31,0
1190218,475404,-593296,31,0
1231928,490830,-592488,31,0
1343225,496100,-654685,30,1
1383365,488759,-638126,35,0
1452000,486878,-623991,35,0
1493784,491404,-611067,36,0
1533248,500773,-598950,35,0
1599070,524967,-587238,33,0
1660492,550987,-589257,33,1
1697936,566582,-588449,32,0
1806808,614006,-586026,32,1
1843660,630951,-584411,31,0
1905638,656912,-592892,30,0
1946150,671340,-595315,30,0
1983901,686176,-586430,30,0
2049522,703729,-617933,32,0
2092258,708533,-616317,33,0
2133896,714238,-613086,34,0
2199455,731066,-593296,34,0
2239605,747789,-584411,34,0
2278288,768200,-575121,34,0
2337918,807823,-564217,33,0
2370131,832471,-561793,32,0
2404350,859317,-561793,31,0
2414665,867546,-560178,31,2
2145238,888573,-712036,31,0
2145238,888573,-712036,33,1
2178762,851685,-711228,33,1
2217546,809009,-712036,32,1
2262843,750755,-726576,29,0
2285048,715650,-731422,29,0
2305767,679929,-734249,29,0
2339789,614448,-740711,29,0
2368507,551275,-744750,30,1
