13875,-1207,-17366,29,0
45645,-8047,-25040,29,0
79952,-16895,-25444,30,0
114295,-25605,-24232,30,0
148839,-33481,-20597,31,0
184736,-39555,-12924,31,0
266871,-48211,-8077,31,1
302212,-50713,-6058,31,0
337845,-52442,-3634,31,0
375709,-53283,-807,31,0
410162,-53352,403,30,0
445299,-55199,-10904,29,0
480160,-62777,-31906,26,0
512051,-77643,-55331,24,0
543977,-100628,-69467,23,0
569553,-125498,-84814,23,0
591806,-153694,-95719,23,0
610578,-183165,-105008,23,0
626661,-214185,-113489,24,0
641295,-246451,-115509,24,0
656889,-286267,-123990,24,0
667246,-320405,-131260,25,0
676099,-354207,-131664,26,0
684816,-388043,-132068,27,0
693767,-423081,-132068,27,0
704481,-465739,-132875,28,0
712671,-499204,-133279,29,0
721804,-532424,-127221,30,0
732561,-565925,-124798,31,0
744814,-599169,-118740,32,0
761968,-640728,-117124,32,0
775562,-672385,-115912,32,0
789702,-704070,-114297,33,0
804467,-736278,-113893,34,0
820871,-766852,-101777,34,0
839976,-796980,-99353,34,0
865418,-834049,-94507,34,0
885825,-862411,-94911,33,0
906033,-890617,-94911,33,0
925982,-920192,-100565,32,0
944825,-949907,-100565,30,0
961667,-992908,-138934,26,0
962587,-1028326,-170032,24,0
955421,-1063274,-184572,24,0
944084,-1097099,-194265,24,0
929823,-1129532,-202746,24,0
905279,-1172073,-216074,25,0
884876,-1201635,-218901,26,0
864567,-1230068,-219305,27,0
844290,-1258824,-217690,27,0
824205,-1288307,-216074,28,0
803683,-1317786,-219709,29,0
773953,-1358706,-220113,30,0
754808,-1387055,-212843,31,0
737711,-1416966,-205169,31,0
721639,-1448542,-203150,31,0
705952,-1480309,-202746,32,0
683511,-1526455,-201938,32,0
668508,-1558282,-200323,33,0
654057,-1590095,-199111,33,0
639665,-1622470,-198707,33,0
626221,-1654986,-193861,34,0
610206,-1704764,-182552,34,0
601208,-1739032,-182956,33,0
591385,-1772310,-188610,33,0
580204,-1805672,-190226,33,0
568336,-1839056,-192245,34,0
556942,-1871311,-189822,33,0
540120,-1922881,-187399,33,0
530431,-1956453,-182956,34,0
522685,-1991026,-175283,33,0
514646,-2025281,-184976,33,0
509903,-2041968,-184572,33,2
536629,-1950753,-186591,33,0
610779,-1904805,-330775,30,0
606233,-1903862,-338449,25,0
576242,-1893394,-357028,25,0
544980,-1877788,-363893,25,0
514790,-1860195,-369952,25,0
484992,-1840580,-374798,25,0
455958,-1819021,-381260,25,0
411168,-1780415,-389338,26,0
385661,-1756178,-390953,27,0
360026,-1731721,-389742,27,0
333786,-1706483,-391761,28,0
308201,-1681272,-392165,28,0
266937,-1639948,-393377,29,0
242009,-1616165,-387318,31,0
214864,-1594164,-377221,31,0
186816,-1571337,-387722,30,0
161186,-1549425,-382068,31,0
113899,-1513113,-377221,31,0
85074,-1492512,-375202,32,0
55760,-1472181,-374394,32,0
26767,-1452245,-374394,32,0
-1981,-1432817,-372779,32,0
-31039,-1413857,-371163,32,0
-84246,-1380503,-369144,32,0
-114662,-1361861,-369144,32,0
-144145,-1344036,-367932,32,0
-173842,-1326569,-366721,33,0
-203995,-1309402,-365105,33,0
-260587,-1277937,-364701,32,0
-291194,-1261081,-364297,32,0
-321258,-1244760,-363490,33,0
-351950,-1228577,-361874,33,0
-383456,-1212369,-361470,32,0
-441470,-1182524,-361874,32,0
-472170,-1166887,-360662,32,0
-503057,-1151624,-359451,32,0
-534506,-1136397,-359047,32,0
-566395,-1120957,-359451,33,0
-598033,-1105560,-359451,32,0
-657258,-1077620,-357028,32,0
-660814,-1075995,-357028,32,2
-576679,-1115272,-358643,32,0
-542439,-1196034,-503635,29,0
-536629,-1182840,-521810,25,0
-518955,-1154410,-531907,25,0
-498262,-1126559,-538369,26,0
-475291,-1099264,-544023,25,0
-450798,-1072328,-546042,26,0
-400914,-1023736,-556139,27,0
-375754,-1000199,-550081,29,0
-350965,-974545,-546042,29,0
-326039,-948007,-547254,29,0
-301692,-922605,-548062,30,0
-278741,-897569,-542811,31,0
-244158,-836001,-502020,30,0
-230886,-802624,-516155,28,0
-213774,-772159,-528676,28,0
-194303,-743736,-533926,29,0
