215506,-1740,-1615,29,1
275126,-1500,2423,29,0
334742,-2222,-4846,28,0
393915,-7132,-11712,29,0
452574,-16328,-19386,26,0
509908,-36691,-48869,23,0
559056,-70007,-70274,22,0
599577,-113073,-92891,21,0
632317,-164934,-108643,21,0
658140,-218943,-116316,22,0
679948,-274956,-123586,23,0
698153,-333267,-130048,24,0
712915,-392039,-134895,24,0
723850,-451642,-142972,25,0
732782,-511084,-141357,27,0
744417,-569807,-133683,28,0
760885,-627871,-125202,29,0
780905,-684289,-120759,30,0
802335,-739662,-119547,30,0
824572,-795770,-119143,31,0
847302,-851152,-117124,32,0
871859,-903597,-109450,31,0
893159,-960328,-132875,26,0
897952,-1019756,-165186,24,0
887464,-1079439,-183764,23,0
867902,-1136276,-196688,23,0
842045,-1189998,-207189,23,0
811381,-1243394,-211228,24,0
778379,-1293341,-219709,24,0
742081,-1340638,-225363,25,0
701573,-1387660,-231018,26,0
662798,-1432304,-226171,27,0
625494,-1479125,-222536,28,0
591175,-1529068,-212035,29,0
560881,-1580135,-209208,29,0
531608,-1632074,-207593,30,0
502273,-1685377,-207189,30,0
474518,-1737036,-205573,30,0
446718,-1790055,-205169,30,0
418908,-1843619,-204766,31,0
392196,-1896100,-203554,31,0
368493,-1950006,-193457,31,0
351654,-1988513,-203150,32,2
394721,-1905152,-206381,31,2
476334,-1874349,-349758,29,2
471826,-1872462,-357835,25,0
423791,-1843289,-379645,25,0
378638,-1803242,-393780,24,0
337888,-1760057,-397415,25,0
298574,-1712984,-405897,25,0
261349,-1665168,-404281,26,0
225001,-1617293,-408320,26,0
189097,-1568174,-407916,27,0
152418,-1520862,-402666,28,0
114791,-1474300,-403877,28,0
75679,-1428979,-396204,29,0
33894,-1386794,-390145,29,0
-9363,-1346838,-387318,28,0
-51734,-1302835,-401858,29,0
-91469,-1260039,-390953,28,0
-132057,-1217373,-399435,29,0
-172967,-1173668,-392569,29,0
-215336,-1132420,-390145,29,0
-258367,-1091862,-389338,29,0
-302702,-1050912,-388126,29,0
